9845,9720
220,2503,1893
334,9347,8240
7558,2389,381
5506,1879,3244
9746,8939,2899
6482,418,4201
3773,2337,5909
1742,2876,748
8756,3110,8327
9870,6935,855
598,8539,6250
2143,8945,3973
4522,7727,4497
5023,8,5787
798,6945,9463
7487,2782,9088
6640,8438,9005
8925,7015,4230
9021,676,3669
7151,5441,8242
4248,9335,2176
687,8309,1595
4742,1095,5229
3088,7155,9729
5448,6494,1695
8998,9139,5614
8743,6415,6550
4323,7621,2942
9842,5475,4495
2614,202,7666
5381,841,3059
9009,5778,3087
3157,999,6278
2788,7002,5018
1293,9627,7267
3847,4425,7660
1860,5646,6173
6087,7131,8103
3875,882,3629
1001,4376,9082
7370,901,1905
4606,1900,2779
2682,590,8989
5553,5450,701
8373,9005,1986
2122,7095,563
5246,3432,9785
811,4946,3504
4755,8487,2350
6979,9284,4250
5734,8000,8810
4309,4240,5455
8122,4933,6186
4360,3381,5021
9114,7314,5740
8466,8775,2976
9328,4181,4992
8654,3311,1738
5994,1092,751
7529,3331,2388
9293,431,9992
5975,2407,2390
352,3315,8808
1335,4111,2639
4706,9818,1895
9961,2848,729
7828,3672,6887
5311,9346,987
4687,9154,5370
1879,9322,3361
5975,9171,977
6537,8429,1746
1793,2829,981
9683,1160,7778
5763,3552,5589
9494,5176,43
2407,3810,5502
3602,3466,8538
165,1229,414
8438,5396,5033
8462,1223,9555
6112,5543,1191
6798,3429,481
618,4775,9120
8717,7094,5633
3497,9254,8645
6635,8937,3165
7587,2511,6392
1425,5266,2053
4238,447,9837
8874,1465,5548
2184,9611,9023
2687,360,219
6682,6593,2908
9158,4754,6850
6905,8747,2444
5136,4990,5211
976,8552,2253
7642,6146,8295
2651,9235,3625
6163,6594,9158
3497,3265,9326
3611,7405,5566
6438,4880,4823
4002,3647,3351
7487,2035,727
6861,7298,8184
9683,4707,8071
5214,6933,1649
828,3853,5767
5544,9125,5013
4985,5921,8190
9680,1339,2630
3668,1893,2656
4111,1085,73
3592,3961,6531
6982,5754,5004
29,637,2593
251,2675,4018
9021,2199,680
9156,9349,473
7107,4830,3078
6298,1843,6812
9121,6636,335
9328,6981,9251
9114,3224,5229
8654,9713,3422
472,7342,6251
5778,9576,9365
7652,9574,2550
9445,2965,7892
8539,8669,3538
9373,6225,115
5571,1526,700
4969,3184,4534
5366,6686,1111
9385,7007,8062
1553,2769,4587
3240,1330,620
8487,4166,7973
2876,7322,6430
7950,1826,99
5017,9700,2163
8356,4778,7533
431,9633,9847
352,4534,9847
4061,1999,93
9638,794,992
5814,9032,6024
598,5377,9534
5501,7416,9316
3205,6428,7855
2110,9316,7469
4904,6724,9716
5949,1198,6615
7084,1865,2035
5337,9497,861
2737,6949,3747
6498,5476,5250
4755,9168,6637
9854,7309,1858
5544,2568,3433
4660,41,5648
3011,4739,191
2055,9010,1225
4367,4155,378
9693,1692,2045
9289,885,9607
2601,5852,842
1069,2177,9069
1153,5324,2282
6626,3362,8651
2809,4517,6041
5381,4208,1819
9456,9407,7532
1511,2253,1689
129,6600,9709
8982,3001,2964
8706,1368,2923
123,5179,2479
7726,3610,2092
9649,7851,4286
2523,3407,5005
1191,9520,668
6732,750,2176
6798,6046,6429
7074,625,4139
7399,993,5515
7421,3215,6512
5395,4231,2409
3224,2643,4888
3247,4597,1514
5921,2706,6790
8672,7760,1632
5434,6681,1796
3168,4006,9191
4262,2323,5435
7637,4556,3797
3875,1522,9363
2753,7992,984
5331,5492,9870
3916,6679,8135
9430,6501,5833
9920,403,3639
6363,3230,1519
9680,7086,4183
3349,5512,6466
7303,7794,4942
3562,7623,7700
6498,7356,1598
5357,7443,7606
110,3771,4035
8323,159,728
2025,5569,5337
6225,1134,203
5857,354,7058
5076,3674,9930
8756,6870,5107
416,2930,9135
1425,1854,7263
2143,3474,1477
6784,1998,9922
9348,9118,6752
3272,7565,3013
8192,4692,280
2669,4609,6788
3736,7989,5927
6086,7872,8981
7015,1862,3142
5266,1582,6777
8228,6910,3456
3647,2188,1413
7179,8772,4952
6663,8632,4401
8759,1366,9082
552,1638,6170
5996,6131,9820
9511,8887,4345
7200,8090,7515
5238,5761,4710
5738,175,9511
8611,925,6058
815,4809,5617
362,7136,7323
6602,5965,5745
5479,2338,3512
8772,6064,6742
5863,2344,5993
9011,3220,1787
7342,3512,2991
9704,998,8774
9346,3591,8512
5176,8509,9624
4933,4277,3586
4731,2837,6984
1904,4235,7326
4047,7910,2782
7346,7362,4024
3645,7046,3227
8937,2399,7555
2964,9942,2052
1176,4280,6088
6221,5932,5735
568,5454,6957
5814,4737,2025
8611,183,2666
45,301,3143
3047,8484,8584
123,5163,2828
5509,5603,4335
628,4373,5569
3661,3713,9229
7960,1068,6718
841,1107,8683
6282,7353,3103
4373,2291,8715
4677,6066,9991
3339,2743,1857
5796,1174,6410
2446,3441,1277
2503,9515,9641
2682,8830,9546
146,4420,7442
2337,9938,1004
6494,2986,1718
1107,9300,2575
804,9092,8038
5320,8273,735
5151,8145,6566
403,4242,8615
5017,4855,9012
5137,8978,827
3224,7400,5812
6372,4567,7548
165,1476,1815
62,4640,140
8720,4308,2412
290,1076,8112
1191,4525,246
4391,9973,7408
8926,672,8087
8645,7984,1894
5381,9180,6577
4774,8455,2103
6581,7367,9012
5479,2124,6896
3749,4102,5546
9322,9923,9165
3875,3025,3343
4271,7264,6298
1783,5520,2653
3843,4398,7648
2773,2940,6952
1970,3202,399
2019,8798,1703
4704,7740,4154
2619,7186,9635
7421,6921,494
5696,1321,1280
7599,13,1939
418,6596,5077
9170,4890,7583
6782,348,4590
2985,5831,4350
9214,3992,2894
3184,3569,5741
7837,5880,5259
347,1498,3546
9212,7188,2217
805,1587,716
5136,5288,6260
9938,6286,6073
7147,8259,7922
3615,8708,8865
9451,744,3239
1899,6786,410
3542,4972,5012
4972,7684,1665
6629,254,6605
9060,1506,7867
6789,3198,9999
8500,8486,4940
6494,3273,5975
9714,339,5021
4231,7270,5487
3331,6198,8813
5557,7311,7283
5089,462,4648
4279,9419,6627
8621,4119,4077
7993,8245,223
3106,7532,7838
7989,8053,896
4238,8572,7522
5229,5844,6408
9017,7550,902
9060,2812,172
6500,336,2213
2914,6923,8013
5975,3680,4297
1134,9840,7549
3736,4956,8052
4407,6326,9641
5844,9723,9360
254,7846,5773
6415,8995,3263
3810,6439,5245
7658,7693,8588
1219,4428,6033
598,8809,1141
9713,4554,1424
4911,4259,9195
9588,3014,4035
9433,5879,7642
4597,5079,6261
532,6049,7225
4102,7453,6522
8515,8365,8678
4009,8229,5998
5878,3766,1959
885,9220,10
9422,9239,3415
462,8889,7644
68,678,6719
5773,1254,6107
9237,6836,7124
4238,7877,9136
6821,8250,4500
1204,1304,171
5879,6957,5945
3001,4291,9016
4061,1925,5260
2697,2959,1372
2470,553,82
7538,7060,9837
794,7586,2266
4480,1649,4822
3224,111,9726
76,5585,8077
110,5431,2989
4116,2934,3029
2845,1563,10000
6789,891,1656
4996,6904,6895
8720,4653,560
9711,899,1520
441,2207,2359
9194,2695,7311
4017,5993,4368
9923,6988,84
8759,7260,8238
2651,5362,9898
6386,8147,210
329,3043,5173
4242,9383,7334
6403,7397,6107
9419,2297,609
6847,233,4202
592,1671,6557
1860,9545,9067
9681,6030,5874
2829,2036,1307
7303,5940,9593
5357,2668,5608
1366,4176,2458
336,6301,4920
8964,6193,3604
4345,953,1601
1326,170,5177
3318,2072,1347
4082,3430,379
9180,3385,3023
6372,536,5964
4262,9200,6361
9060,9573,2917
9566,707,5692
7002,7977,6089
8735,7247,862
1893,4325,4142
9162,5166,3703
561,2799,9628
8598,6799,6309
6066,2625,1313
2272,7820,3836
8250,5554,5691
5877,738,7135
9322,7545,3972
6454,4220,2936
9316,2515,192
3855,1547,6307
4994,3375,4793
1939,9891,8671
188,5444,7910
4972,3754,9167
893,1102,9320
7642,3775,4696
9448,1901,9798
1089,9841,9974
9348,3190,3001
4494,4971,9094
8154,4571,8727
1826,1399,2626
5674,645,1184
3853,8437,6184
7534,9808,4060
7687,2855,4365
2363,2003,1579
8442,2552,4753
5391,9612,1618
5162,451,9773
8250,7629,683
552,9804,3270
170,7703,6474
395,3111,2195
3507,2284,7488
7451,5945,901
6376,6654,517
551,9248,3972
6623,3250,7437
3559,9298,3037
8592,3795,9057
637,1610,241
6679,1823,1242
7610,6630,5815
3713,9664,8169
3198,2936,5335
5164,7059,7272
9419,6381,4015
2072,7635,6500
436,5251,6494
29,1154,4096
6120,5483,3671
2008,8117,5982
7639,5439,6605
7250,4700,1726
4591,3076,7337
6642,3041,9139
1522,987,8791
6724,8783,4842
874,3383,354
1582,3923,6711
9560,4799,9584
7828,1789,5622
3291,4107,961
1415,917,7468
6638,5629,6726
9563,8648,1183
4493,6416,9072
4746,7354,1895
1842,2487,3358
4231,6660,9089
7094,3060,7501
8284,300,3093
2110,1612,1725
5572,3778,5094
8720,168,3657
1582,9463,2812
9383,5412,7335
2877,5408,517
2056,5939,5400
3680,1271,6216
3055,9236,6380
4241,9897,7847
2651,5003,3419
7322,9678,9740
1533,5071,9154
8062,486,6843
222,2738,6705
6231,7077,9050
5069,3212,3016
8246,5612,6588
6322,4472,4366
7257,9280,7757
3215,14,5893
4731,5772,3546
7829,2709,936
4127,1489,7961
1304,9269,6142
6049,3500,9312
2304,6003,4084
5965,9249,8086
1058,1611,4894
4912,9334,5997
9032,5583,4146
1712,4569,7949
3381,3279,2487
3875,7881,8572
8486,720,182
7067,6610,6136
7798,9414,8711
5214,492,3026
7284,4538,2039
1159,8046,3616
7881,6191,4427
3555,4659,6862
1808,589,6490
447,7982,6841
1697,1,4674
130,455,2618
5476,728,8855
5132,6314,7363
9676,5415,5291
9036,3400,3602
5366,1734,4953
3011,3353,2514
8910,2868,2823
8995,7410,7127
2652,4466,89
5847,1206,1099
9269,9998,8121
3674,8542,4164
9856,4581,5776
4511,5713,1180
4283,6027,6011
5864,5541,2741
5395,622,618
70,4336,1626
3697,4661,2
9683,9476,7808
3122,3069,9827
4088,8333,6585
7013,7259,3478
6623,4282,3923
6193,1755,811
193,311,8564
9414,6172,7684
1929,4215,8814
2196,2064,8150
5483,6474,9419
4017,368,3460
4026,6445,4712
8830,631,891
2960,7806,4433
8053,518,2326
1330,9902,8549
7422,5574,808
9808,5980,1780
682,7071,4864
7963,4595,8978
705,2627,9819
7928,2443,7842
936,6558,5406
9349,8454,8636
3385,9893,4724
5287,3468,6237
0,5032,604
8078,2648,2502
8731,6574,6510
1907,7766,5143
2675,8569,5428
6760,7832,6543
9365,6697,8573
7397,3811,19
2244,5010,3901
2527,6999,4105
6939,6603,9136
5635,1192,5985
1876,4130,2284
9891,3089,1943
8799,8217,6503
7832,8200,3744
220,3935,5604
4639,6359,3782
4788,1844,8582
5674,8362,7536
4631,219,5567
2351,2939,5686
804,1297,4398
4595,3324,7402
6331,217,5075
3693,7240,7665
8573,7690,4652
2625,9473,3633
6087,6771,5412
5162,5043,2508
418,9297,9429
2614,2574,164
7580,5565,5963
8692,9580,2930
6724,9184,462
3060,6431,6963
6866,5332,7564
4775,7511,1893
7342,197,360
4740,5638,8640
5071,7117,3943
2155,8896,3726
9574,1482,9681
2220,2605,7511
2913,6273,2824
8598,5341,7848
5855,1466,4822
687,5690,1161
4971,2680,7350
9678,9860,4444
5176,5622,2908
2196,6583,6038
4797,1257,2025
347,8566,5837
2157,2600,10
1174,2734,7269
5477,5435,4140
2429,3323,2982
1999,6288,5783
3500,4135,4508
3441,3346,960
3567,3753,6616
3720,4328,6084
7411,2364,8504
3579,7962,4899
1489,8899,7876
4279,3356,2646
1105,6917,3408
3308,8448,3215
7993,7567,3992
5043,8789,6952
7390,9866,7642
8154,1211,4423
568,5669,4569
5925,2778,7225
9870,3837,5370
7865,2388,7318
8648,3588,5271
8919,1855,9334
6799,8686,6069
4360,3760,9430
2443,3027,4109
9373,8861,699
2914,1208,6307
3983,933,347
7152,1441,139
6979,3255,6538
8896,4805,1552
7399,949,4086
9588,9423,1440
4172,2434,4193
6146,199,5365
8309,7230,4923
8708,9593,8728
5980,369,3022
3773,8409,6971
8284,4197,4695
4601,2445,4526
3211,9877,6435
2322,7543,9135
6979,5611,2135
1759,3130,479
9593,4865,5061
6861,293,5175
9593,6749,7374
8939,1799,6385
5478,5073,5786
9527,1255,7293
3782,1508,1798
6950,2906,9809
9415,284,7632
1079,1432,4482
4061,4438,3858
2150,2127,2479
5855,7248,7646
6423,8833,4913
972,9690,1132
5357,2375,872
6197,8008,3431
236,7607,4729
139,7341,8892
5327,9590,4363
5337,3548,7766
219,7907,6983
1271,9865,424
6836,5363,8304
4805,8071,8261
8447,4253,1310
4829,1629,9626
4328,4535,7082
885,9648,5656
3279,3121,1593
9633,3059,9312
728,1726,4878
9653,5218,7879
2253,4928,7964
4448,9090,3604
7599,6477,3991
6322,8374,6457
4571,842,400
4373,1660,7331
1174,6295,5312
5914,9749,7681
8772,9518,7620
8455,2125,6367
7188,8282,4254
8789,1915,6656
9222,4824,6344
3265,6726,7903
1748,2559,9759
5219,4702,5094
8552,9793,2511
941,5385,1979
4534,9916,4739
4506,2825,7674
2827,4408,3304
5168,875,2187
5337,2752,1889
4407,4040,7740
70,8138,1257
5730,8866,1826
6784,9258,6680
9448,7888,5254
1330,6244,7591
1418,7602,4190
6625,5107,1324
3184,6235,3037
9079,4562,1579
2556,3301,5516
5089,9488,8680
8669,4478,2265
4345,4992,2607
8198,7198,4508
7658,1140,3828
6521,6270,9180
1198,2607,2441
1864,9634,4060
4255,8337,3161
2119,4389,4206
8755,1274,992
9808,3389,4166
3982,7958,2404
8309,226,3791
436,1341,1290
9974,8032,7953
4328,9968,5823
486,591,4857
1465,2730,7101
9903,1926,6401
1677,714,1001
6423,5910,2003
7837,1075,6424
536,440,4446
5811,6154,2809
6822,3165,4828
2419,6509,2603
4215,6597,5601
882,9089,1033
2627,5005,2791
7580,2928,3074
1677,8316,3122
5533,661,599
2082,7313,8028
4187,4014,7522
7960,8331,8109
7226,5974,2033
6474,1236,8922
4634,5400,5339
9637,5758,3493
6301,5567,1765
8364,8404,9644
5015,4196,3671
203,1201,2011
5434,3950,9548
6201,808,5166
4554,3899,6098
4994,4066,8944
6027,5615,878
3585,7677,2012
1718,9211,1437
3749,1033,8414
1907,1619,7140
202,5982,7074
918,8351,4971
4581,3112,1466
110,2714,4248
8090,595,1386
3362,3147,3580
6752,5283,2906
9634,6367,4637
5137,5100,9733
1271,3100,7653
7333,470,1098
4694,5058,2571
5629,3412,1670
5166,1196,9623
8217,315,9568
2003,9833,1193
9676,1797,3616
707,2287,5387
1623,3624,8806
9328,4265,2100
5223,7394,2403
3794,7979,2442
1939,4560,1160
4309,593,8135
2071,3464,891
2652,989,2527
4291,4812,7880
5822,741,4245
8898,3561,2806
1159,8952,6822
9839,3639,7846
1533,55,3414
1407,6233,3486
5156,8522,6213
7264,6987,4034
9279,1316,3399
6584,582,9488
7560,654,5339
9476,5630,2320
815,2020,8334
2913,3469,1843
3081,5747,7702
3331,4454,231
7580,9915,9980
8427,6998,8420
1661,8384,5766
1511,5280,449
9991,7018,2016
1732,7956,8146
2389,371,7889
8672,8518,2962
678,424,8312
7976,8944,2886
3383,717,6097
6069,3825,5236
4769,4877,2873
5434,3372,6160
6979,8414,5247
1619,6110,6916
9211,3225,962
4408,2993,1738
6193,36,9162
2041,7220,9546
2625,4272,7245
3561,577,9728
1326,5474,5614
7013,3839,633
2460,8616,2480
5932,9467,9352
1574,6276,7111
9348,5807,6281
5706,7689,2988
4534,8467,4203
7914,524,8641
6524,8920,2211
6359,5510,5003
6477,9730,2647
4413,1536,2176
311,5249,1305
3730,7595,2962
3983,3491,8867
2647,1472,2587
6418,6148,4035
7050,6410,8503
8648,132,1655
8890,3544,4035
5320,9453,7442
541,8871,4527
3500,6048,4671
7211,6823,5948
9574,4316,489
9350,8762,1875
8437,1909,8405
4972,789,1680
9563,6223,4226
582,8788,8045
2638,7091,8494
1842,2086,8262
111,6737,1968
2337,6673,4597
2571,7004,7951
1621,3164,2934
2682,7906,616
7248,8160,9233
1660,2042,4640
3318,9601,4563
800,5029,4238
7511,2101,1397
470,86,4013
3225,9311,6887
2322,1123,5557
3475,5563,7321
1375,8769,6985
7071,4521,8952
8114,9533,4526
9293,648,1056
2337,2622,6921
14,7925,8663
193,9486,1158
7018,2061,7440
6870,6447,2291
68,580,6919
4506,3792,4130
7877,4988,8457
1123,5322,5911
5273,7850,6904
1603,1535,4513
5032,895,7802
9640,9161,9424
7979,1875,4395
8055,922,8839
9961,2497,7930
7007,8585,8784
9154,9485,345
369,7666,7741
4428,2464,7212
1735,3566,1390
2378,8501,1946
6681,9006,1248
2764,2075,2237
5583,6662,7266
6608,3819,2980
180,807,7803
7314,8922,6587
9400,6162,5725
8362,7631,5778
9072,3604,5216
4154,7508,5376
4061,9441,3038
4438,454,60
8518,6151,2182
1671,8538,4101
7335,3842,1109
6064,788,8770
8789,9764,2114
6777,3922,744
6482,3201,2002
4006,9468,4974
9807,9918,2281
4588,2145,5126
9866,7553,3729
6501,1715,2050
7086,2897,4755
6276,3450,4793
8585,448,8207
4310,1973,4922
3027,5546,8140
4946,4724,7843
850,3424,8765
9973,1338,7080
2738,6851,7547
4116,3052,2788
933,8087,9415
606,67,4899
9293,2067,6142
301,1199,5718
9655,4184,9440
3361,587,4589
8911,7366,4608
5162,4872,1749
248,5623,5472
3366,3998,4466
5280,1084,9207
7575,8829,6826
9723,2459,3999
9775,9630,1340
1178,6879,4453
8572,4779,2450
3106,435,3662
261,3862,5047
5779,8021,312
6494,2398,656
4996,867,1974
9079,4716,565
4850,9910,2717
2959,3379,1747
2145,7125,8901
9258,1918,5836
3585,8077,8479
3041,474,5526
6445,7570,6218
6829,3915,7350
9257,7109,1049
8789,1003,3805
561,1749,6038
8681,2810,9831
4116,9082,6522
901,4060,891
9842,9120,8690
899,886,701
4040,1081,3707
541,9479,8735
9385,1685,4938
9436,4246,8930
9667,2024,978
274,7305,5338
4378,8839,4110
9734,7490,6588
2523,5647,7605
7910,3627,5752
2607,250,2223
8229,5687,4056
5509,1392,5948
9981,8492,1262
3620,821,2459
6330,5048,7993
5408,2963,2215
9298,1614,7524
884,9263,5531
2244,7215,8100
577,5487,7712
7354,9163,4234
9328,7843,3047
6674,8178,8952
9678,4219,8480
1107,695,1735
2047,4508,4270
309,9562,1025
4425,491,4879
9468,6897,5269
6545,1478,7063
1167,5578,4238
55,5328,3468
8919,2995,8224
2065,3712,7945
4943,3943,6522
9601,1758,7789
3548,5104,4169
3381,4509,928
972,522,6204
8478,5040,2423
3201,2987,1700
9385,5604,7103
245,1527,2103
7175,5088,1023
2306,8843,2768
2351,1788,7174
9611,7499,3300
7689,8979,3483
7492,6644,9961
2827,8285,4473
5435,6296,6214
2651,5113,4324
3766,8307,3374
5177,5225,7974
1864,3776,7264
1599,3630,4141
4797,5959,9801
2177,6369,1619
4250,6665,5291
2356,7813,596
1298,8469,4234
9839,2235,5589
4511,5834,3846
9419,2954,2304
1860,8834,4752
1193,9830,8136
7215,786,5385
9277,2396,7616
6359,2115,7694
217,6804,3773
5266,8320,1996
6244,5888,273
8898,4355,7095
1079,8578,590
8569,114,3098
7018,1798,2241
4866,6577,3364
8793,8570,6081
3647,4243,7561
9383,2212,2213
309,1834,217
2799,8067,7210
1823,952,4227
6509,9817,7117
309,528,6724
7527,5821,9795
6169,5074,1898
1610,6096,4003
6008,4045,1921
6937,167,5524
1370,6253,3276
3123,2214,9571
2257,5245,6865
3055,2606,8665
9283,3446,8007
8356,4684,2805
9870,4923,6500
921,2871,6545
3754,1371,6120
1284,3978,5283
6298,5986,5571
2754,721,7814
6415,1365,7376
9235,6122,3356
8246,8968,6171
4640,6459,8291
5807,4576,159
1033,1624,4806
8501,726,5918
8062,6700,3736
3247,8800,6251
9079,4457,7342
949,1429,6801
5412,3788,6300
3446,3977,6850
8793,5528,4991
668,3715,4098
146,4625,2766
8008,3472,8660
2165,1578,3042
5070,2318,6883
7456,2052,8947
6752,3073,1478
5014,5199,735
4378,3214,3095
9423,830,7118
2261,1169,9537
568,5147,3720
1352,8124,6736
6365,3804,9346
9385,3678,7905
6445,517,9798
9764,2379,4952
3011,8514,8056
4900,6756,3679
245,1950,4279
5062,8728,2228
8421,7632,3671
1238,8606,7944
9284,10000,294
9633,3368,4768
3690,9526,572
4863,8260,7541
3959,8308,9296
6652,8443,3838
436,9115,7268
3214,5936,9194
1257,4453,9580
2129,4507,6724
8853,5887,3520
9316,667,5200
7910,834,9394
4900,2763,1502
1904,4234,6730
7541,9757,2335
3117,7593,6807
4316,1643,11
7400,2955,5565
1726,3502,5343
2440,6699,3491
3585,1149,7250
2913,9109,2862
4220,5774,1309
4248,2789,4921
1832,8303,4736
2363,9532,8003
5646,3625,5490
8910,3137,2320
8362,1060,8975
4640,8626,7173
893,2540,1619
9139,2295,8043
6359,5061,3109
5585,4546,4739
8516,9,2675
9519,8170,953
9163,7579,3533
1835,5742,4784
3285,4270,4705
1330,4142,5606
8413,8194,9937
7867,7871,9096
9520,9028,1375
2020,9040,7582
2737,5848,6511
5015,5823,4883
1901,2823,2220
8568,7312,5477
5249,809,6068
5273,6272,9079
9153,3338,6082
5045,746,6814
9060,8872,7870
9627,1700,8879
1321,8234,1382
8516,4828,4876
9349,3306,2934
2129,3914,5135
5635,4404,5902
1441,8206,5553
7865,4031,7635
1688,4853,6587
4060,8059,1654
3810,4868,5275
4155,7786,8774
7513,4658,3295
4116,463,5915
3604,4199,5881
3059,5125,9911
3585,7325,3606
3592,2745,2666
8606,9320,7031
5713,6588,3751
9884,3675,6881
1508,838,8206
7595,2585,5805
2959,5228,4182
1401,1108,3259
3429,235,8546
4606,9965,3284
8896,6818,6017
6665,4761,9935
2002,9666,4522
2605,4675,1641
8140,5891,9037
232,1953,534
3567,8946,3853
1476,9091,1992
824,9868,5905
3675,4371,8908
6154,4541,2559
7071,1667,8522
3278,2134,9055
1508,9411,1760
1430,9394,4113
6169,438,740
7344,4756,2789
6054,2286,4706
3069,2850,5408
1192,7249,9800
3073,3390,1492
7298,1018,2406
8197,2348,5194
3788,8528,2142
5847,321,5170
9176,4439,7411
5399,5196,7781
4595,8270,3709
4659,5550,5388
8605,64,6884
9640,7221,10000
1950,7609,9479
5448,4514,4613
3422,4044,8491
9821,819,8
6866,3283,6969
8762,7839,8492
4731,7859,6363
3257,722,744
8830,2835,5663
3134,34,6195
7984,6490,1521
3383,5952,8041
5761,2663,2967
8240,9556,6155
7358,6144,58
1326,1557,2324
343,2450,3341
6505,5172,6166
108,6585,9280
987,1500,9337
1497,6867,1751
4047,3034,8809
7867,8475,3469
8448,3333,8950
9284,4125,1699
7709,5433,7482
6654,5110,1417
8399,8417,3439
9156,6528,8504
625,954,5133
1793,4905,4052
3073,2634,2323
3220,9719,3527
282,7515,1677
2753,9189,2177
7084,8744,8317
8761,9752,4481
6082,4485,939
4378,8155,9480
1553,3097,1786
2464,3062,3535
8093,4883,6516
5622,3460,5685
4775,4682,2921
9591,7775,4759
274,7019,9445
4754,9144,2138
176,156,3101
3450,8546,700
9612,2689,2576
5176,2240,5172
5694,4087,2794
4484,1364,3242
4678,7347,4510
7659,8063,3142
9902,6232,2512
7094,8976,5218
9627,375,4781
493,406,4099
4376,9208,6591
288,7745,5918
7211,4983,7967
6925,5109,8273
329,8801,1436
564,9583,6332
9248,9110,7081
1961,2937,5291
7353,1733,4744
7587,6354,7077
1860,2182,4447
6270,748,8836
9897,7719,3303
3246,38,8801
4026,9038,9540
1553,9861,4730
4659,9789,5118
1204,8550,2318
5939,7224,9984
284,8794,6895
8475,1664,4976
3730,6319,1898
3790,7425,2189
2829,7162,1791
5214,405,9767
35,7331,2563
1907,3538,7141
4428,2193,9789
9297,7452,7428
2342,3018,8159
8046,7955,8625
5847,1751,7991
3695,3745,1333
8766,7360,3772
798,7126,3557
2061,5726,658
8250,3658,2659
6816,2223,9659
7659,9288,3254
4099,5275,4249
828,3181,5613
6490,5530,4887
1733,9390,1533
1058,1331,4209
1201,7377,8150
7955,8696,1324
5763,7738,9431
4253,3131,1878
130,2633,1113
2622,7187,6698
3383,8541,7285
4829,2197,2351
2145,9232,7439
3736,9244,8879
1574,5916,1951
9161,773,1722
2401,2841,1437
2658,836,2035
7599,9477,5749
4250,5346,3765
1439,9190,6960
7524,9233,3296
933,1977,8754
360,1104,770
9719,1858,6570
9637,1952,4384
3624,4043,4967
4653,9472,2249
9225,8663,1564
9916,5264,6776
2675,25,9713
2823,4616,7480
8799,5926,2447
3382,4575,5447
5474,5644,8804
9347,7124,5300
5980,3413,2376
1271,5806,6472
9840,2158,3022
2638,2112,3113
6726,8697,8690
8185,6451,3338
9385,6667,2636
8495,4117,5526
2920,9026,6205
440,2176,2383
6197,5827,9620
2379,6090,4074
5864,9185,7234
2854,868,5081
3745,3045,4884
2052,8028,7691
5029,8292,7613
7192,85,138
3202,9333,6829
3774,5529,3143
244,1635,2238
6727,2919,7210
5821,9716,5239
5830,7092,1785
9612,6553,8384
29,1730,8500
2647,6010,101
7410,6850,637
9021,5347,2383
4514,2377,2619
9277,8226,2342
1392,7878,8133
7781,8010,7984
5878,26,8482
6339,8748,6393
2977,1210,3503
9249,7608,7248
2568,5056,4738
7425,876,7921
7555,785,2805
5911,6687,7459
9333,6589,7261
2823,4896,5967
7322,3576,4089
7607,6961,7473
8333,5824,6297
1371,2979,5373
9845,2266,2760
5945,4674,7634
873,8847,9853
3864,2121,9264
8168,9503,9033
5641,8767,272
7046,7205,6771
1723,4222,8827
7250,6601,369
3215,306,2338
3472,7129,4131
9176,8610,8221
5796,9039,1504
2542,1561,157
8442,8848,6578
1459,7974,5451
815,1336,5533
7992,7232,2453
6984,5240,3074
2122,6258,9779
4260,5580,4671
6301,8017,4984
5324,4224,5654
2850,1008,3444
7129,2969,6115
4119,1668,5085
2960,9619,6013
6052,2942,5141
4724,6913,374
4988,5732,4807
5939,4351,1502
103,7971,8751
108,8298,3108
2909,2518,9378
3916,2811,1963
3658,2696,6282
8185,283,5999
4049,2402,1545
6823,5394,4460
6610,8512,3417
2306,9904,2646
3579,3049,8900
3272,4108,2998
300,516,4064
8705,4585,2380
1969,5948,9990
285,158,1062
6726,2194,6537
438,3099,9413
8374,1628,5579
2920,5410,3587
8743,9325,204
2067,8683,5196
6112,477,6705
8482,2512,864
9161,8098,4547
4248,1813,8165
275,2537,1025
3548,2303,4737
2936,1426,6178
158,2433,8367
4971,9147,2367
7461,5382,1243
5089,3465,1755
1242,4633,1806
3407,8325,1068
6879,1202,7052
8169,1072,2821
8839,4365,5692
1915,1350,3991
8853,1743,3707
6169,3796,7043
8169,5295,6856
788,8524,4170
7880,9528,3942
6354,2248,9011
9715,2718,9779
3604,5967,5990
4345,322,7655
3214,3824,9566
6642,558,3975
1409,6159,8773
8260,1720,102
9026,2012,9446
85,3373,9206
4014,3083,7905
4196,6006,1316
1511,1032,5905
9335,5548,5961
8245,7898,3048
9845,1943,1997
8645,185,3474
6553,8521,7849
6295,427,7303
2020,5375,2398
895,9410,8453
2987,4910,1888
6144,2519,3561
2132,4871,9399
8101,6859,6566
1226,1479,976
7871,1048,5276
5048,237,1342
9923,9167,2470
2036,7528,5326
949,725,9003
1145,7037,171
8827,4303,7624
9320,9150,596
33,8646,7978
2955,3501,2400
7152,6260,1837
3731,6694,5828
3475,7757,179
4262,1607,5160
1732,3687,4457
2649,2966,8528
7220,6488,5760
1339,4753,6442
3366,5420,4211
9486,3359,3753
3308,6590,9709
3977,1078,9036
3353,2400,1507
1733,9828,4181
2177,5200,8250
1945,2268,2602
7312,5195,2033
895,2524,6396
7346,4960,5278
2401,2865,2023
8367,2690,4455
6884,1470,6924
7989,5909,6900
9504,3163,4355
4547,4431,1890
9021,6437,4608
